ID3v2.3,MP3,Colocada FREE DOWNLOAD,,,,,,<int Value>,,,<map[string]interface {} Value>,cf3b09d6d94a352c57df357ad70038d3e11b99b5,
ID3v2.3,MP3,Jupiter & Jaguar [Welcome To The Present],,,,,,<int Value>,,,<map[string]interface {} Value>,ccb8d18fb2edabeefb1f40a877166211533b7c1d,
ID3v2.3,MP3,Premiere Blondish Mountains of the Mind,,,,,,<int Value>,,,<map[string]interface {} Value>,546f503d74a7280f7b03b00f31bbc538235bf34b,
ID3v2.3,MP3,Public Service Broadcasting - Sputnik (BLONDISH Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,57952229b1d318d82f2e2e6daa0266dda9d80427,

ID3v2.3,MP3,Anything (ft. Jaw),,,,,,<int Value>,,,<map[string]interface {} Value>,e41c1686a175caf4cd2829cc3f96216c5a46d4bb,
ID3v2.3,MP3,Claptone - Another Night - Weekend I Exploited Records,,,,,,<int Value>,,,<map[string]interface {} Value>,ceda4afd85849e2916331084cfe3d4108b472339,
ID3v2.3,MP3,Claptone - Dear Life (Purple Disco Machine Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,f5bb9bb1bc53b501397d0ac7475e094e294dba66,
ID3v2.3,MP3,Dear Life feat. Jaw (Radio Edit),,,,,,<int Value>,,,<map[string]interface {} Value>,e7bcea26dae43ba7acfb4bca72b6388c4b308014,
ID3v2.3,MP3,Forest Of Love (Radio Edit),,,,,,<int Value>,,,<map[string]interface {} Value>,806c189ded7458560fcb8fe3c499db551ed1389d,
ID3v2.3,MP3,See you everyday alone,,,,,,<int Value>,,,<map[string]interface {} Value>,41268bbdbd343a2b4a58c1f4c0f58746c140a96e,
ID3v2.3,MP3,Gregory Porter - Liquid Spirit (Claptone Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,72ec643c6ae5b24b5f17cd65d5eee5e44e335a43,
ID3v2.3,MP3,Heartbeat (ft. Nathan Nicholson),,,,,,<int Value>,,,<map[string]interface {} Value>,868511a7992a71bd6299fd581fdec52773c513fe,
